Compound	CLBJ-BTM_bin.2.o	DELA-BTM_bin.5.s	TEAK-BTM_bin.1.o	TEAK-BTM_bin.9.s
H2O_e0	-107.636	-68.2742	-64.2745	-81.8137
H+_e0	100	100	-360.551	-104.063
O2_e0	48.8277	100	0	100
CO2_e0	-31.8462	-181.641	-8.05032	-66.2874
D-Glucose_e0	11.1869	0	100	2.29211
Pb_e0	0	0	0	0
Cd2+_e0	0	0	0	0
L-Arabinose_e0	0	0	0	0
Xylose_e0	0	0	0	0
Galactose_e0	0.499326	0	0	0
Mg_e0	0.0154549	0.0299357	0.0253352	0.0315309
S-Adenosyl-4-methylthio-2-oxobutanoate_c0	0	0	0	0
fe3_e0	0.0367054	0.0710973	0.0506704	0.0748858
Mn2+_e0	0.0154549	0.0299357	0.0253352	0.0315309
Hg2+_e0	0	0	0	0
CoA_e0	0.0309098	0.0598714	0.0506704	0.0630617
Thiamin_e0	0.0154549	0.0299357	0	0.0315309
L-Tryptophan_e0	0.235592	0.456334	0.386205	0.48065
Sulfate_e0	0.0154549	0.0299357	0.0253352	0.0315309
Heme_e0	0.0251143	0.0486455	0.0506704	0.0512376
L-Phenylalanine_e0	0.540638	0	0	1.57345
Aminoethanol_e0	0.053146	0.102942	0	0
L-Histidine_e0	0.395616	0	0.648533	0.807129
Cobinamide_e0	0.0057956	0.0112259	0	0.0118241
dATP_e0	0.0799615	0.154883	0.131081	0
Co2+_e0	0.00965933	0.0187098	0.0253352	0.0197068
GLUM_e0	0.243868	66.669	0.0778306	0
L-Methionine_e0	0.653331	0	0	1.30138
Deoxyguanosine_e0	0.0799615	0.154883	0.131081	1.54196
L-Isoleucine_e0	1.63202	3.16117	2.67537	3.32962
L-Asparagine_e0	1.00238	0	0	0
ddca_e0	0.624158	0	1.02318	0
ocdca_e0	0.425168	0.823536	0.696976	0.867419
K+_e0	0.0154549	0.0299357	0.0253352	0.0315309
Gly-Leu_e0	2.29879	0	3.7684	0
Gly-Phe_e0	0.230592	1.49385	1.26427	0
Oxidized glutathione_e0	0.00772746	0	0.324182	0.0157654
meso-2_6-Diaminopimelate_e0	1.5495	3.00132	2.54008	3.16125
Zn2+_e0	0.0154549	0.0299357	0.0253352	0.0315309
Menaquinone 7_e0	0.0463648	0.0898071	0.0760056	0.0945926
L-Arginine_e0	2.1669	77.8149	2.0438	2.51208
L-Glutamine_e0	1.62565	0	0	4.43035
GMP_e0	0.0869524	0	0	0
L-Tyrosine_e0	0.602315	0	0	1.22883
N-Acetyl-D-glucosamine_e0	0.255459	-61.6795	0.740714	0
AMP_e0	0.580813	1.09508	0.952126	0
3'_5'-Cyclic CMP_e0	0.499735	0	0	0
Riboflavin_e0	0.0309098	0.0598714	0.0506704	0.0630617
Folate_e0	0.0463648	0.0898071	0.0760056	0.0945926
UMP_e0	0.453355	0	1.43132	0
Cl-_e0	0.0154549	0.0299357	0.0253352	0.0315309
L-Threonine_e0	1.0535	0	1.72699	0
GTP_e0	0.588883	1.30907	1.1079	0
L-Serine_e0	1.01744	1.63199	0	2.15266
Spermidine_e0	0.0154549	0.0299357	0.0253352	0.0315309
Cu2+_e0	0.0154549	0.0299357	0.0253352	0.0315309
Lanosterol_e0	0.236585	0.458259	0.102318	0.482677
L-Valine_e0	1.75805	3.40528	2.88196	3.58674
TTP_e0	0.0799615	0.184819	0.131081	0
L-Cysteine_e0	0.380058	0	0	0.775388
NADP_e0	0.0309098	0.0598714	0.0506704	0.0630617
Ca2+_e0	0.0154549	0.0299357	0.0253352	0.0315309
Biomass_c0	-4.99115	-9.6677	-8.18197	-10.1828
Nitrite_e0	0	0	0	0
NH3_e0	0	-148.795	5.02238	0
Phosphate_e0	0	-0.712396	25.0998	32.6721
Nitrate_e0	0	0	0	0
L-alanylglycine_e0	0	0	0	0
ala-L-Thr-L_e0	0	0	0	0
PPi_e0	0	0	-12.6396	-13.3669
ala-L-glu-L_e0	0	0	0	0
Salicin_e0	0	0	0	0
Cbl_e0	0	0	0	0
D-Fructose_e0	0	0	0	0
Glycerol-3-phosphate_e0	0	2.16178	0	1.95169
L-Leucine_e0	0	4.45268	0	4.68995
D-Mannitol_e0	0	0	0	0
Cys-Gly_e0	0	0.766097	0	0
Ornithine_e0	0	-75.4299	1.50839	0
Maltose_e0	0	0	0	0
Gly-Met_e0	0	1.23555	1.071	0
Palmitate_e0	0	1.37723	1.31175	1.45062
ala-L-asp-L_e0	0	0	0	0
Sucrose_e0	0	0	0	0
Dulcose_e0	0	0	0	0
Gly-Cys_e0	0	0	0	0
Ursin_e0	0	0	0	0
Glucuronate_e0	0	0	0	0
Gly-Gln_e0	0	0	0	0
Allantoin_e0	0	0	0	0
Amylotriose_e0	0	0	0	0
Sorbitol_e0	0	0	0	0
D-Galacturonate_e0	0	0	0	0
Cytosine_e0	0	1.81617	0	-4.28512
L-Aspartate_e0	0	10.5626	0	0
D-Mannose_e0	0	38.5436	100	0
Thyminose_e0	0	0	0	0
L-Glutamate_e0	0	0	0	0
Gly-Tyr_e0	0	1.16667	0.987373	0
L-Proline_e0	0	1.78229	0	1.87726
Myristic acid_e0	0	1.45077	0.204636	1.52807
Ala-Leu_e0	0	0	0	0
gly-asp-L_e0	0	0	0	0
TRHL_e0	0	1.23891	0.920862	1.01872
D-Ribose_e0	0	0	0	0
gly-pro-L_e0	0	0	0	0
Maltohexaose_e0	0	0	0	0
gly-glu-L_e0	0	0	0	0
Ala-Gln_e0	0	0	0	0
Uracil_e0	0	0	0	-61.9928
met-L-ala-L_e0	0	0	0	0
gly-asn-L_e0	0	0	1.64319	0
Ala-His_e0	0	0.766297	0	0
S-Adenosyl-L-methionine_e0	0	0.0299357	0	0.0315309
Putrescine_e0	0	0.0299357	0	0.0315309
Dextrin_e0	0	-0.00498928	0	0
Na+_e0	0	0	0	0
L-Lactate_e0	0	0	-389.478	0
5'-Deoxyadenosine_c0	0	0	0	0
Arsenate_e0	0	0	0	0
BET_e0	0	0	0	0
Arsenite_e0	0	0	0	0
Citrate_e0	0	0	3.14142	0
Deoxycytidine_e0	0	0	0.131081	0
Thiamine phosphate_e0	0	0	0.0253352	0
Acetate_e0	0	0	0	-130.747
Adenosine_e0	0	0	0	0
Glycine_e0	0	0	0	7.40431
Deoxyuridine_e0	0	0	0	63.9373
Inosine_e0	0	0	0	0
Cytidine_e0	0	0	0	4.28512
Thymidine_e0	0	0	0	0.163136
Deoxyadenosine_e0	0	0	0	1.31657
Uridine_e0	0	0	0	0
Taurine_e0	0	0	0	0
D-Serine_e0	0	0	0	0
Deoxyinosine_e0	0	0	0	0
D-Alanine_e0	0	0	0	9.27797
D-Glutamate_e0	0	0	0	0.254679
D-Lactate_e0	0	0	0	-0.0118241
L-Malate_e0	0	0	0	0.0118241
